name,nii_file,nii_file_id,4dvolind
18_to_58,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,58
18_to_59,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,59
18_to_60,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,60
18_to_61,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,61
18_to_62,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,62
18_to_63,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,63
18_to_64,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,64
18_to_65,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,65
18_to_66,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,66
18_to_67,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,67
18_to_68,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,68
18_to_69,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,69
18_to_70,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,70
18_to_71,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,71
18_to_72,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,72
18_to_73,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,73
18_to_74,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,74
18_to_75,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,75
18_to_76,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,76
18_to_77,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,77
18_to_78,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,78
18_to_79,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,79
18_to_80,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,80
18_to_81,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,81
18_to_82,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,82
19_to_0,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,0
19_to_1,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,1
19_to_2,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,2
19_to_3,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,3
19_to_4,vismap_grp_cat_rois_v2_19_norm.nii.gz,19,4
